,full,full,part0,part0,part1,part1,part2,part2,part3,part3,part4,part4,part5,part5,part6,part6,part7,part7,part8,part8,part9,part9
iteration,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test
0,0.12406,,0.125901,0.124659,0.121271,0.117097,0.122548,0.122344,0.148891,0.147506,0.122298,0.120653,0.130889,0.133001,0.125363,0.125463,0.134143,0.133444,0.13293,0.139928,0.137922,0.139404
100,0.117638,,0.119654,,0.114346,,0.110791,,0.11781,,0.115373,,0.122286,,0.115921,,0.11999,,0.117754,,0.118464,
200,0.115311,,0.11694,,0.108987,,0.110144,,0.112521,,0.111905,,0.116549,,0.113274,,0.114199,,0.11393,,0.11377,
300,0.11346,,0.115068,,0.109875,,0.106366,,0.110612,,0.10784,,0.114294,,0.112001,,0.112776,,0.11444,,0.112452,
400,0.110884,,0.112287,,0.108715,,0.108931,,0.108431,,0.107206,,0.112942,,0.11137,,0.111718,,0.113543,,0.10886,
500,0.109134,,0.11188,,0.107856,,0.105501,,0.107097,,0.107689,,0.108871,,0.107584,,0.10924,,0.11153,,0.11106,
600,0.107659,,0.111336,,0.10489,,0.106953,,0.108913,,0.108051,,0.106622,,0.108483,,0.111071,,0.108347,,0.107097,
700,0.1059,,0.107575,,0.105175,,0.105475,,0.108237,,0.107376,,0.108315,,0.107424,,0.110477,,0.109338,,0.109331,
800,0.105452,,0.109385,,0.106821,,0.104514,,0.105007,,0.105849,,0.108757,,0.106675,,0.105282,,0.109647,,0.108612,
900,0.104645,,0.10773,,0.106626,,0.10586,,0.105603,,0.102122,,0.104761,,0.105125,,0.107008,,0.108995,,0.104966,
1000,0.104904,,0.104789,0.109692,0.105508,0.102823,0.103373,0.106051,0.106426,0.111509,0.104936,0.109516,0.102738,0.109955,0.106468,0.104203,0.107936,0.0960115,0.105149,0.111115,0.107529,0.104782
1100,0.106359,,0.107658,,0.101958,,0.105818,,0.102612,,0.106003,,0.105493,,0.106959,,0.105412,,0.105946,,0.103504,
