,full,full,part0,part0,part1,part1,part2,part2,part3,part3,part4,part4,part5,part5,part6,part6,part7,part7,part8,part8,part9,part9
iteration,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test,train,test
0,0.107398,,0.0484628,0.142105,0.100994,0.128118,0.0747453,0.124941,0.0913134,0.126584,0.167323,0.136889,0.0380201,0.150992,0.0731803,0.131738,0.125029,0.120702,0.0569133,0.144863,0.202009,0.144969
10000,0.0851517,,0.0824219,,0.125347,,0.0970885,,0.115047,,0.0808553,,0.0869596,,0.0995485,,0.107017,,0.111046,,0.0640432,
20000,0.0936893,,0.0537221,,0.17828,,0.11566,,0.104332,,0.0916563,,0.105241,,0.0959737,,0.138418,,0.101351,,0.129054,
30000,0.10738,,0.111805,,0.1242,,0.067329,,0.0749281,,0.0791042,,0.148637,,0.0946882,,0.0853089,,0.112622,,0.122897,
40000,0.0979277,,0.107618,,0.107341,,0.0758231,,0.138534,,0.110563,,0.0915585,,0.0683717,,0.164677,,0.057165,,0.0298326,
50000,0.0821625,,0.0572888,,0.0646823,,0.099023,,0.114969,,0.0496563,,0.0501378,,0.0894876,,0.0857243,,0.0799898,,0.107324,
60000,0.0796491,,0.0909382,,0.103556,,0.092195,,0.0957482,,0.0577047,,0.0779451,,0.0540648,,0.100716,,0.122837,,0.122233,
70000,0.0852855,,0.0661828,,0.052131,,0.0737766,,0.0792223,,0.14409,,0.0787717,,0.0624269,,0.0655686,,0.053927,,0.084029,
80000,0.0575844,,0.154183,,0.0790136,,0.0737635,,0.0632646,,0.123272,,0.0828833,,0.0731982,,0.10806,,0.099569,,0.0691854,
90000,0.0892022,,0.0486625,,0.0827729,,0.0588563,,0.115977,,0.121801,,0.079784,,0.0779421,,0.129926,,0.115851,,0.0501647,
100000,0.132908,,0.0643025,0.10139,0.117999,0.10643,0.0767795,0.108681,0.0699312,0.0939459,0.157297,0.0910416,0.108637,0.0951108,0.109003,0.0848702,0.0829992,0.0898848,0.062263,0.100258,0.0725765,0.128336
110000,0.0848976,,0.111376,,0.0532049,,0.0937448,,0.133896,,0.0729599,,0.0856963,,0.128126,,0.0576987,,0.0900276,,0.101794,
120000,0.134447,,0.0401331,,0.0859218,,0.0777417,,0.0483129,,0.0494759,,0.167038,,0.11252,,0.139207,,0.0890821,,0.0838519,
130000,0.071626,,0.0891633,,0.0558011,,0.103992,,0.118336,,0.046741,,0.0685486,,0.0536498,,0.0954655,,0.136705,,0.0826944,
140000,0.0886391,,0.0774997,,0.124646,,0.0481351,,0.0890052,,0.0833722,,0.0773228,,0.0538988,,0.0342009,,0.0894899,,0.0800457,
